text,label,label_text,global_label,task_id
can i get a reservation at champs,9,accept_reservations,0,0
do they take reservations at state bird,9,accept_reservations,0,0
do they take reservations at bjs,9,accept_reservations,0,0
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
can you make reservations at hodak's,9,accept_reservations,0,0
will they take reservations at torris,9,accept_reservations,0,0
i need to know if angelos takes reservations,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
does tony's in downton let you make reservations,9,accept_reservations,0,0
do they take reservations at mendy's,9,accept_reservations,0,0
do they take reservations at mcdonalds,9,accept_reservations,0,0
does the restaurant michael's take reservations,9,accept_reservations,0,0
does moes in la except rerservations,9,accept_reservations,0,0
will they take reservations at chillis,9,accept_reservations,0,0
do they accept reservations at michael's,9,accept_reservations,0,0
will qdoba take reservations,9,accept_reservations,0,0
do you know if outback allows reservations,9,accept_reservations,0,0
do you know if bottlenecks takes dinner reservations,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
do they take reservations at buffalo wild wings,9,accept_reservations,0,0
was my application approved or not for a credit card at chase bank,103,application_status,3,1
find out for me if my amex card application was received,103,application_status,3,1
do you know if anyone's even looked at the application i sent in for the new visa card,103,application_status,3,1
do you know if my amex card app went through,103,application_status,3,1
will i be notified when my application has been processed,103,application_status,3,1
where can i find out the status of my credit card application,103,application_status,3,1
is there any indication my application for a new credit card has been processed,103,application_status,3,1
i filed a credit card application so what is going on with it,103,application_status,3,1
i'm desperate to know about my cc processing,103,application_status,3,1
how much longer until my credit card application is checked,103,application_status,3,1
can you update me on the status of my american express card application,103,application_status,3,1
my credit card application has what status,103,application_status,3,1
can you check if my application for a discovery card has been looked over yet,103,application_status,3,1
have you heard anything back on my cc application,103,application_status,3,1
has there been any changes in the status of my credit card application,103,application_status,3,1
i need to know what the latest is with my application for a visa credit card,103,application_status,3,1
did my visa card app go through yet,103,application_status,3,1
please find out the current status of my credit card application,103,application_status,3,1
can you find out if my application at smith bank was approved or not  i applied for s credit card a month ago,103,application_status,3,1
is it likely my credit card application has processed yet,103,application_status,3,1
what is the apr on my visa card,132,apr,4,3
"on my bank of america visa, what is the apr",132,apr,4,3
is the apr on my credit card good,132,apr,4,3
i need to know the apr for my visa card,132,apr,4,3
tell me the current apr on my visa card from bbt,132,apr,4,3
"what's the apr on my visa card, please",132,apr,4,3
what is the apr on my american express card,132,apr,4,3
tell me how good the apr is on my card please,132,apr,4,3
what is the apr on my barclay's card,132,apr,4,3
what is my apr for my credit card,132,apr,4,3
what is the apr on my chase visa,132,apr,4,3
what apr does this credit card have,132,apr,4,3
could you please tell me the apr for the credit card,132,apr,4,3
tell me the apr on my mastercard,132,apr,4,3
"i need to know on my citibank card, what is the apr",132,apr,4,3
what is the credit card apr if you could fill me in,132,apr,4,3
"on my wells fargo mastercard, what is the current apr",132,apr,4,3
please say my credit card's apr,132,apr,4,3
how good is card apr,132,apr,4,3
i want to know my credit card apr,132,apr,4,3
i need you to cancel my reservation for smith's at 6:15,67,cancel_reservation,16,2
please cancel my dinner reservation for tuesday,67,cancel_reservation,16,2
get rid of my 4 pm reservation at the steakhouse please,67,cancel_reservation,16,2
"hello, i need to cancel tonight's reservation for dinner",67,cancel_reservation,16,2
call the restaurant and cancel my reservation,67,cancel_reservation,16,2
the reservation i placed is not needed anymore,67,cancel_reservation,16,2
can you cancel my reservation tonight for chris at smith and wollensky,67,cancel_reservation,16,2
please cancel my 7:30 reservation for morton's,67,cancel_reservation,16,2
i no longer need the reservation for 20 at ihop,67,cancel_reservation,16,2
cancel my reservation for chris at jp field's,67,cancel_reservation,16,2
please cancel the table for two at burger king,67,cancel_reservation,16,2
please cancel my reservation for chris at brio,67,cancel_reservation,16,2
"cancel the dinner reservation i made, okay",67,cancel_reservation,16,2
can you undo the reservation,67,cancel_reservation,16,2
scrap that dinner reservation,67,cancel_reservation,16,2
tell the restaurant to cancel my reservation,67,cancel_reservation,16,2
just trash the reservation i made please,67,cancel_reservation,16,2
"i made a reservation for chris at tony's, please cancel it",67,cancel_reservation,16,2
"i don't need my reservation, cancel it",67,cancel_reservation,16,2
