text,label,label_text,global_label,task_id
does michael's accept reservations,9,accept_reservations,0,0
does mcdonalds take reservations,9,accept_reservations,0,0
does sidetracks take reservations,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
do they accept reservations at michael's,9,accept_reservations,0,0
do they take reservations at arby's,9,accept_reservations,0,0
can you let me if zeus accepts reservations,9,accept_reservations,0,0
does moes in la except rerservations,9,accept_reservations,0,0
does the steakhouse on main st take reservations,9,accept_reservations,0,0
i need to know if capones does reservations in trenton,9,accept_reservations,0,0
does chillis take reservations,9,accept_reservations,0,0
does buffalo wild wings take reservations,9,accept_reservations,0,0
does buffalo wild wings do reservations,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
tell me if luigis in brick takes reservations,9,accept_reservations,0,0
does the zen garden in la take reservations,9,accept_reservations,0,0
does marios in brooklyn take reservations,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
can i make a reservation at chevy's,9,accept_reservations,0,0
set an alarm for me for 10:00 and another one set for 4:00,83,alarm,2,4
i want to make an alarm,83,alarm,2,4
i need an alarm set,83,alarm,2,4
make a new alarm for 6 in the morning,83,alarm,2,4
initiate a new alarm please,83,alarm,2,4
i want an alarm at 5pm,83,alarm,2,4
could you set one alarm for 8am saturday and one for 9am sunday,83,alarm,2,4
assist me by setting my alarm for 9:00 and another for 11:00,83,alarm,2,4
i need an alarm at 8 pm,83,alarm,2,4
please turn on the alarm,83,alarm,2,4
please set an alarm for 2 pm for me,83,alarm,2,4
set up two alarms one for 10am and another for 2pm,83,alarm,2,4
create an alarm,83,alarm,2,4
set reminder for 2 pm,83,alarm,2,4
set alarm for 5pm,83,alarm,2,4
can you play an alarm at 5pm,83,alarm,2,4
set alarm for 5 am,83,alarm,2,4
set one alarm for 215pm and another for 7pm,83,alarm,2,4
can i turn on the alarm now,83,alarm,2,4
i need one alarm to go off at 6:30 am and a second alarm set for 8:00 am,83,alarm,2,4
what is the status of my credit card application,103,application_status,3,1
has the application for my american express been processed yet,103,application_status,3,1
where can i find out the status of my credit card application,103,application_status,3,1
