text,label,label_text,global_label,task_id
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
can you make reservations at steak 'n' shake,9,accept_reservations,0,0
does olive garden take reservations,9,accept_reservations,0,0
tell me if luigis in brick takes reservations,9,accept_reservations,0,0
are reservations allowed at burger king,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
do they take reservations at olive garden,9,accept_reservations,0,0
does stanleys take brunch reservations,9,accept_reservations,0,0
does redrobin do reservations,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
does tartine in san francisco take reservations,9,accept_reservations,0,0
can i make a reservation for redrobin,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
does acero in maplewood allow reservations,9,accept_reservations,0,0
does nopa in san francisco take reservations,9,accept_reservations,0,0
does marios in brooklyn take reservations,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
why is my account locked,2,account_blocked,1,8
can you tell me why there's a hold on my mutualone account,2,account_blocked,1,8
i think my account is blocked but i do not know the reason,2,account_blocked,1,8
why does my credit union account have a hold on it,2,account_blocked,1,8
find out the reason why am i locked out of my bank account,2,account_blocked,1,8
why would i have been locked out of my own account,2,account_blocked,1,8
what is the reason i am locked out of my bank account,2,account_blocked,1,8
do you know why the bank put a hold on my joint checking account,2,account_blocked,1,8
why is my account blocked,2,account_blocked,1,8
i am confused because my account seems to have been blocked for no reason,2,account_blocked,1,8
i think my account is block but i am not sure why,2,account_blocked,1,8
did i do something to get my bank account frozen,2,account_blocked,1,8
why is my bank account frozen,2,account_blocked,1,8
can you find out what triggered a hold on my bank account,2,account_blocked,1,8
i need to know why my bank account is blocking all of activity,2,account_blocked,1,8
what is the reason for frozen status on my bank account,2,account_blocked,1,8
who froze my bank account,2,account_blocked,1,8
what would cause me to be locked out of my bank account,2,account_blocked,1,8
what's with the block on my bank account,2,account_blocked,1,8
can i talk to someone about why there is a hold on my checking account,2,account_blocked,1,8
make a new alarm,83,alarm,2,4
i need an alarm to wake me up at 8 tomorrow morning,83,alarm,2,4
set alarm,83,alarm,2,4
set alarm for 6am,83,alarm,2,4
set an alarm for me for 10:00 and another one set for 4:00,83,alarm,2,4
could you set one alarm for 8am saturday and one for 9am sunday,83,alarm,2,4
make a new alarm for 6 in the morning,83,alarm,2,4
i need an alarm for 6am,83,alarm,2,4
i'd like a new alarm set for 6am,83,alarm,2,4
create an alarm for 6am,83,alarm,2,4
please set an alarm for 5 am,83,alarm,2,4
help me get up at eight thirty in the morning tomorrow,83,alarm,2,4
please turn on the alarm,83,alarm,2,4
i need alarms set for 6am and 615am,83,alarm,2,4
set a 5 am alarm please,83,alarm,2,4
please set up an alarm to go off tomorrow at daybreak,83,alarm,2,4
i want to make an alarm,83,alarm,2,4
"please set two alarms, one at 12 pm and the next at 1 pm",83,alarm,2,4
i would like an alarm set,83,alarm,2,4
set an alarm for 5 pm,83,alarm,2,4
has the discover card approved my app,103,application_status,3,1
can you check if my application for a discovery card has been looked over yet,103,application_status,3,1
i want to be updated on the most recent status of my credit card application,103,application_status,3,1
what is the status of the application for a credit card i put in,103,application_status,3,1
"i put in a credit card application, so what is the status with it currently",103,application_status,3,1
i applied for a new credit card; did it process yet,103,application_status,3,1
look into the status of the credit card application i submitted recently for my new card,103,application_status,3,1
do you know if my amex card app went through,103,application_status,3,1
when will my application for my credit card be processed,103,application_status,3,1
has anyone looked at my mastercard application,103,application_status,3,1
see if my form submission for an american express card has been seen,103,application_status,3,1
have i received any messages about my credit card application,103,application_status,3,1
i filed a credit card application so what is going on with it,103,application_status,3,1
tell me about my american express application; did it go through,103,application_status,3,1
i'm desperate to know about my cc processing,103,application_status,3,1
what is the status of my application for the credit card,103,application_status,3,1
have my app for a new card been processed yet,103,application_status,3,1
has my amex application gone through yet,103,application_status,3,1
i want an update on my application for a credit card that i sent in a couple weeks ago,103,application_status,3,1
did the application i put in for a mastercard go through yet,103,application_status,3,1
what is the apr for my credit card,132,apr,4,3
how much is my apr on my bank of america card,132,apr,4,3
tell me my credit card's annual percentage rate,132,apr,4,3
what will the apr on my transferred balance be after the first year on my bank of america credit card,132,apr,4,3
is the apr rate on my amex pretty good,132,apr,4,3
what apr do i have with my credit card,132,apr,4,3
tell me the current apr on my visa card from bbt,132,apr,4,3
can you give me an appraisal of my card's apr,132,apr,4,3
what's the apr of my discover card,132,apr,4,3
would you please inform me about my credit card's apr,132,apr,4,3
is the apr on my credit card good,132,apr,4,3
i need to know the apr on my credit union visa,132,apr,4,3
how good is card apr,132,apr,4,3
tell me how the apr on my hy-vee card is,132,apr,4,3
is my apr for my credit card available,132,apr,4,3
it would be great if you could tell me my credit card's apr,132,apr,4,3
do i have a good apr on my credit card,132,apr,4,3
the apr on my visa card is what,132,apr,4,3
could you tell me what is the apr for the credit card,132,apr,4,3
how good is the apr on my credit card,132,apr,4,3
so are you real,117,are_you_a_bot,5,7
are you human or a bot,117,are_you_a_bot,5,7
tell me now if you are a bot,117,are_you_a_bot,5,7
i need to know if you are a real person or an ai,117,are_you_a_bot,5,7
are you actually a bot,117,are_you_a_bot,5,7
so are you a real person,117,are_you_a_bot,5,7
are you an ai or person,117,are_you_a_bot,5,7
so are you human,117,are_you_a_bot,5,7
