text,label,label_text,global_label,task_id
does ruby tuesday accept reservations,9,accept_reservations,0,0
are reservations allowed at burger king,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
do they take reservations at olive garden,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
can i make a reservation for redrobin,9,accept_reservations,0,0
can you make reservations at steak 'n' shake,9,accept_reservations,0,0
does stanleys take brunch reservations,9,accept_reservations,0,0
does tartine in san francisco take reservations,9,accept_reservations,0,0
does marios in brooklyn take reservations,9,accept_reservations,0,0
does olive garden take reservations,9,accept_reservations,0,0
does redrobin do reservations,9,accept_reservations,0,0
does nopa in san francisco take reservations,9,accept_reservations,0,0
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
does acero in maplewood allow reservations,9,accept_reservations,0,0
tell me if luigis in brick takes reservations,9,accept_reservations,0,0
what are your pets,34,do_you_have_pets,38,0
why types of animals do you currently have as pets,34,do_you_have_pets,38,0
tell me what kinds of pets you have,34,do_you_have_pets,38,0
i need to know whether you are a cat or dog person,34,do_you_have_pets,38,0
let me know if you are a cat or dog person,34,do_you_have_pets,38,0
let me know what kinds of pets you have,34,do_you_have_pets,38,0
do you have many kinds of pets at your house,34,do_you_have_pets,38,0
do you have pets,34,do_you_have_pets,38,0
do you have any domestic animals,34,do_you_have_pets,38,0
what type of pet do you have,34,do_you_have_pets,38,0
how old are your pets,34,do_you_have_pets,38,0
let me know about your pets,34,do_you_have_pets,38,0
i wanna know what kinds of pets you have,34,do_you_have_pets,38,0
so what pets do you have,34,do_you_have_pets,38,0
what are the pets that you raise,34,do_you_have_pets,38,0
what are the pets that you have in your possession,34,do_you_have_pets,38,0
"if you had to choose, cat or dog",34,do_you_have_pets,38,0
would you like to live with a cat or a dog,34,do_you_have_pets,38,0
tell me all about the creatures you own,34,do_you_have_pets,38,0
can you tell me the types of pets you have,34,do_you_have_pets,38,0
what is the exchange rate for canadian dollars to us dollars,38,exchange_rate,39,0
how much is 500 dollars in pesos,38,exchange_rate,39,0
exchange rate between mexico and us,38,exchange_rate,39,0
how many pesos in one dollar us,38,exchange_rate,39,0
how much dollars do i receive if i trade in 6 yens,38,exchange_rate,39,0
what is the exchange rate between usd and the euro,38,exchange_rate,39,0
how many dollars can i exchange for 5000 rubles,38,exchange_rate,39,0
how many swedish kroner do i get for a dollar,38,exchange_rate,39,0
how many lira can i get for 250 dollars,38,exchange_rate,39,0
how many pesos can i get for one dollar,38,exchange_rate,39,0
how many dollars can i exchange for 10 yen,38,exchange_rate,39,0
tell me five dollars in yen and rubles,38,exchange_rate,39,0
exchange rate to go from dollar to yen,38,exchange_rate,39,0
how many dollars can i exchange for 100000 yen,38,exchange_rate,39,0
convert krugerrands to saudi riyal,38,exchange_rate,39,0
what's the exchange rate between dollars and pesos,38,exchange_rate,39,0
what's 10 pounds in dollars,38,exchange_rate,39,0
what is 56 dollars in yen,38,exchange_rate,39,0
how many dollars can i exchange for 25 euros,38,exchange_rate,39,0
i must know five dollars in yen and rubles,38,exchange_rate,39,0
when is my card going to expire,44,expiration_date,40,0
what date does my capital one card expire,44,expiration_date,40,0
please find out the expiration date for my credit card,44,expiration_date,40,0
my card expires in what month,44,expiration_date,40,0
what's the month that my card expires,44,expiration_date,40,0
do i need a new card yet,44,expiration_date,40,0
