text,label,label_text,global_label,task_id
can i make a reservation for redrobin,9,accept_reservations,0,0
do they take reservations at olive garden,9,accept_reservations,0,0
tell me if luigis in brick takes reservations,9,accept_reservations,0,0
does olive garden take reservations,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
does tartine in san francisco take reservations,9,accept_reservations,0,0
can you make reservations at steak 'n' shake,9,accept_reservations,0,0
does redrobin do reservations,9,accept_reservations,0,0
does acero in maplewood allow reservations,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
does marios in brooklyn take reservations,9,accept_reservations,0,0
does stanleys take brunch reservations,9,accept_reservations,0,0
are reservations allowed at burger king,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
does nopa in san francisco take reservations,9,accept_reservations,0,0
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
i filed a credit card application so what is going on with it,103,application_status,3,1
do you know if my amex card app went through,103,application_status,3,1
"i put in a credit card application, so what is the status with it currently",103,application_status,3,1
what is the status of the application for a credit card i put in,103,application_status,3,1
look into the status of the credit card application i submitted recently for my new card,103,application_status,3,1
tell me about my american express application; did it go through,103,application_status,3,1
have i received any messages about my credit card application,103,application_status,3,1
i want to be updated on the most recent status of my credit card application,103,application_status,3,1
has anyone looked at my mastercard application,103,application_status,3,1
what is the status of my application for the credit card,103,application_status,3,1
see if my form submission for an american express card has been seen,103,application_status,3,1
i want an update on my application for a credit card that i sent in a couple weeks ago,103,application_status,3,1
has my amex application gone through yet,103,application_status,3,1
when will my application for my credit card be processed,103,application_status,3,1
i applied for a new credit card; did it process yet,103,application_status,3,1
can you check if my application for a discovery card has been looked over yet,103,application_status,3,1
have my app for a new card been processed yet,103,application_status,3,1
has the discover card approved my app,103,application_status,3,1
i'm desperate to know about my cc processing,103,application_status,3,1
did the application i put in for a mastercard go through yet,103,application_status,3,1
how do i fix my card being declined,49,card_declined,18,1
please tell me why did my card not get accepted,49,card_declined,18,1
i wonder why my card got declined yesterday,49,card_declined,18,1
explain why was my card declined at boston market,49,card_declined,18,1
let me know why my card got declined,49,card_declined,18,1
i don't understand why walgreens declined my card,49,card_declined,18,1
"buying qtips today, my card got declined at walmart",49,card_declined,18,1
tell me why my card got declined,49,card_declined,18,1
where can i find out why my card was recently declined at amazoncom,49,card_declined,18,1
"my card was declined at the store yesterday, what happened",49,card_declined,18,1
i need to know why my card was declined,49,card_declined,18,1
what was the issue with my card yesterday,49,card_declined,18,1
i was at costco trying to buy sheets and my card got declined,49,card_declined,18,1
why did my card not get accepted,49,card_declined,18,1
for which reason was my card declined yesterday,49,card_declined,18,1
why was my card declined for my monthly netflix subscription payment,49,card_declined,18,1
find out why my card was declined,49,card_declined,18,1
why did my card not get accepted there,49,card_declined,18,1
can you explain why my card was declined,49,card_declined,18,1
i was at whole foods trying to buy groceries and my card got declined,49,card_declined,18,1
what in the world is my credit rating,69,credit_score,30,1
can you figure out how to find my credit score,69,credit_score,30,1
what is my credit score,69,credit_score,30,1
tell me my credit score please,69,credit_score,30,1
will you tell me my credit score,69,credit_score,30,1
inform me of my current credit rating,69,credit_score,30,1
