text,label,label_text,global_label,task_id
can you make reservations at steak 'n' shake,9,accept_reservations,0,0
does olive garden take reservations,9,accept_reservations,0,0
does nopa in san francisco take reservations,9,accept_reservations,0,0
does redrobin do reservations,9,accept_reservations,0,0
is there evening reservations available in the eve,9,accept_reservations,0,0
can i make a reservation for redrobin,9,accept_reservations,0,0
does acero in maplewood allow reservations,9,accept_reservations,0,0
are reservations allowed at burger king,9,accept_reservations,0,0
does marios in brooklyn take reservations,9,accept_reservations,0,0
does iron skillet at the truck stop trake reservations,9,accept_reservations,0,0
tell me if luigis in brick takes reservations,9,accept_reservations,0,0
do they take reservations at olive garden,9,accept_reservations,0,0
do they take reservations at bar tartine,9,accept_reservations,0,0
how many culver's take reservations,9,accept_reservations,0,0
can you tell me if zeus does reservations,9,accept_reservations,0,0
does bar tartine in san francisco take reservations,9,accept_reservations,0,0
does ruby tuesday accept reservations,9,accept_reservations,0,0
does stanleys take brunch reservations,9,accept_reservations,0,0
does burger king accept reservations,9,accept_reservations,0,0
does tartine in san francisco take reservations,9,accept_reservations,0,0
set alarm,83,alarm,2,4
set alarm for 6am,83,alarm,2,4
i want to make an alarm,83,alarm,2,4
create an alarm for 6am,83,alarm,2,4
i need an alarm to wake me up at 8 tomorrow morning,83,alarm,2,4
please turn on the alarm,83,alarm,2,4
please set up an alarm to go off tomorrow at daybreak,83,alarm,2,4
could you set one alarm for 8am saturday and one for 9am sunday,83,alarm,2,4
"please set two alarms, one at 12 pm and the next at 1 pm",83,alarm,2,4
please set an alarm for 5 am,83,alarm,2,4
set an alarm for me for 10:00 and another one set for 4:00,83,alarm,2,4
i need an alarm for 6am,83,alarm,2,4
i would like an alarm set,83,alarm,2,4
set an alarm for 5 pm,83,alarm,2,4
make a new alarm for 6 in the morning,83,alarm,2,4
make a new alarm,83,alarm,2,4
set a 5 am alarm please,83,alarm,2,4
i'd like a new alarm set for 6am,83,alarm,2,4
i need alarms set for 6am and 615am,83,alarm,2,4
help me get up at eight thirty in the morning tomorrow,83,alarm,2,4
